# [Mshock**0.5 * Rshock**-1.5 * p *rho**-2.5],frequency [Hz]
2.620815179534726e-05,502.2881170231523
2.6210980419188534e-05,500.8766809150656
2.7161915374282253e-05,499.36809200292083
2.8144955589036215e-05,498.33774489530936
2.8143908239253115e-05,497.37663185820435
2.7158767202380106e-05,496.0965083449138
2.7161894213754726e-05,494.3813799140181
2.716929936585906e-05,493.0714270578462
2.6227449872177164e-05,491.8714668673048
2.718963275564414e-05,490.26085723502166
2.7197883921811414e-05,488.994237600726
2.7205274458121047e-05,488.33619321799415
2.7203211065297232e-05,486.994358648453
2.720928288036008e-05,485.9173486800949
2.7221275780302948e-05,484.8714602579074
2.723204334664241e-05,483.64903319772657
2.7241709219781633e-05,483.00391283192647
2.9263318943557543e-05,481.98249068583885
2.927364472271936e-05,481.1963507157728
2.9285719150516862e-05,480.40230652340966
3.0362138702129912e-05,479.4719301754649
3.03764846565002e-05,478.4096044232724
2.9326159221465406e-05,477.4511251372613
3.040295008334317e-05,476.4543445967078
3.0415895954739628e-05,475.4424956913423
3.1535752617597606e-05,474.3021866015805
3.1552395736982055e-05,473.2941968716839
3.046545250539903e-05,472.3997011284604
3.0486406472454974e-05,471.5221618194665
3.050857117166467e-05,470.67018659708197
3.0532237566423014e-05,469.72089083397765
3.055571840897062e-05,468.619281088239
1.678791524358185e-05,771.0054604727119
1.6824349108937854e-05,770.1513376814219
1.74731535841935e-05,769.7377983621394
1.7513703482217534e-05,768.1231385045146
1.8362503002231506e-05,754.4257461661532
1.84088030809133e-05,750.3984264529703
1.9117779406044086e-05,743.9904782836102
1.916019003486416e-05,741.2961955933272
1.9201521757921886e-05,740.4015852529857
1.9936660310526167e-05,740.4345910713887
1.9969075354295792e-05,739.7539069717495
1.9999105323449783e-05,739.655731473753
2.171986272676994e-05,725.97229747107
2.175245246363324e-05,723.3968963772098
2.1783521721227026e-05,719.8166879279653
2.1814000025286883e-05,715.8067003890824
2.1844110572274362e-05,711.5029113869168
2.1875576412894913e-05,704.174711241257
2.1904900678343792e-05,694.3140237422026
2.1934003658003263e-05,685.1322708352201
2.196061440068414e-05,677.5269930626192
2.1990273170150208e-05,671.7398639008695
2.2024229511069978e-05,666.1834390219171
2.2859327697308138e-05,659.9520449133854
2.289579840302894e-05,654.8708760302759
