# [Mshock**0.5 * Rshock**-1.5 * p *rho**-2.5],frequency [Hz]
1.3780527238980228e-05,786.802787162
1.3899629818673607e-05,784.593598217
1.4024682992560496e-05,781.900841301
1.4290241028973929e-05,779.4917555410001
1.4428461332183532e-05,776.8636711380002
1.4587214813557671e-05,773.9454699260001
1.4909512851254806e-05,770.9978452619998
1.5014697356116211e-05,767.922909595
1.5253160683450718e-05,765.2044016
1.5361314433547058e-05,762.5385291460001
1.5502471407574775e-05,759.7563606130002
1.5818913850867192e-05,757.0800662380002
1.6076212947235088e-05,754.02585723
1.6317190009313608e-05,750.8906207719998
1.6496767943684157e-05,747.7608809230002
1.677422908879767e-05,745.151779668
1.688470286694624e-05,742.581777715
1.7080347541365277e-05,739.3004128939999
1.7448008512517913e-05,735.6034678130002
1.788610474709279e-05,731.761856697
1.8018631711231152e-05,728.671698505
1.7758688964403017e-05,726.679233795
1.7899992249319587e-05,724.0414837430002
1.8089294724845466e-05,721.574500652
1.8105054731930048e-05,718.916699343
1.8119932743672264e-05,715.787246878
1.8281233136794673e-05,712.333815241
1.8490904704305294e-05,709.066914653
1.8483180313625348e-05,706.622798893
1.8351994458048194e-05,705.296216261
1.836593547621355e-05,703.1396948930002
1.8556021606445603e-05,700.6210138189999
1.8610588242036105e-05,697.874004593
1.8786754677117876e-05,695.3501839930002
1.8958491837066412e-05,693.03580974
1.9146097267312585e-05,691.060137247
1.915917426870641e-05,689.558992768
1.9366227370442434e-05,687.294006823
1.955492366774977e-05,685.0525775130001
1.976600702804331e-05,682.9974906580001
1.9976518008481565e-05,680.703491015
1.9981268078858365e-05,678.532432838
2.019135427507693e-05,676.710382697
2.0397411732552964e-05,674.874151233
2.0620596695632174e-05,672.7669475390001
2.063966543646948e-05,670.115588088
2.0793323965869873e-05,667.631333706
2.1001423787161882e-05,665.3451432999999
2.101364259644769e-05,662.934568813
2.1271574044873553e-05,660.799228159
2.1405042924102626e-05,659.169438592
2.1911194290943893e-05,657.374431892
2.2144723881449832e-05,655.392583238
2.1675684857742736e-05,653.568894013
2.1890467794423785e-05,651.707289985
2.1902882211308117e-05,649.407881988
2.2119297658195844e-05,646.906085251
2.2131916527440943e-05,644.040728713
2.2348861626823834e-05,641.657630988
2.2361508249557686e-05,639.577737886
2.257937925392197e-05,637.312199814
2.2592277291971065e-05,635.533682
2.285740007291125e-05,633.879071652
2.3153086336734257e-05,632.037011421
2.3437725433703484e-05,630.1667186669999
2.335751788497988e-05,628.297588503
2.3446667570044378e-05,626.480713532
2.368705220210966e-05,624.640587374
2.3720402255765284e-05,622.75516633
2.3945454142038017e-05,620.879850778
2.398145958671722e-05,619.294959617
2.3951118954097577e-05,617.567999988
2.4140718097995746e-05,615.8638583640001
2.4102354021949672e-05,613.870138137
2.428563604519374e-05,611.866337496
2.426372550616841e-05,609.9245860780001
2.448271399470803e-05,608.047150503
2.4494524344450566e-05,606.16315826
2.472597117070152e-05,604.16919767
2.4737482735169327e-05,602.324041352
2.4749872428295554e-05,600.3932020330001
2.4982868154918508e-05,598.537453577
2.4994914974590856e-05,596.69346756
2.5231292922598977e-05,594.866090568
2.5242845017133286e-05,592.985882853
2.5480101417881543e-05,591.155128209
2.5492550577147502e-05,589.467548721
2.550434652262939e-05,587.770742133
2.5742696672993554e-05,586.252804543
2.575390634761415e-05,584.7418237769999
2.5765490562332602e-05,583.165810976
2.6004898015700583e-05,581.503687576
2.601621829912176e-05,579.6743027919999
2.6027474454242157e-05,577.507463262
2.6269012594860815e-05,575.368861434
2.628040004328548e-05,573.386010743
2.629181459393093e-05,571.526911054
2.6534840214379473e-05,569.759676904
2.654634164652571e-05,568.044893154
2.65577888949115e-05,566.393566707
2.6569347095318645e-05,564.796945727
2.681480023705755e-05,563.258527382
2.682647951073287e-05,561.785156475
2.6989941801829536e-05,560.488521718
2.727931725346147e-05,559.6280596380001
5.455979102890088e-06,833.899948693
3.898098559021379e-06,851.64969211
3.1417159729232226e-06,837.762504611
2.702953161663804e-06,828.0995463239999
2.466269428792376e-06,875.065237479
2.302764534275918e-06,857.765913305
2.1731019398190833e-06,869.4804598869998
2.1292287278606283e-06,867.3653692239999
2.111312959038399e-06,866.626477975
2.1201690497695636e-06,868.724719893
2.1265911263654175e-06,870.8275057610001
1.97247491876334e-06,873.983386725
1.6679012009681318e-06,870.454665742
1.4647581516501254e-06,878.3822546739999
1.3913806504846628e-06,858.8073031639999
1.4681979359799627e-06,847.072595852
1.7888436412923407e-06,868.432830117
2.6044272123630502e-06,868.7948924369998
2.675565510137549e-06,880.150238985
2.820250068058734e-06,871.4487009989999
4.686822907093474e-06,866.400103405
4.989613689624712e-06,877.536687307
5.310948162244721e-06,856.679925275
5.581228793626175e-06,857.476372006
5.8660690824693375e-06,860.089276317
6.164681830614769e-06,845.6567875669998
6.397979198405846e-06,847.2750986
6.720085015301446e-06,846.875645395
7.057282522325774e-06,845.913828175
7.234515808208877e-06,844.529578125
7.502157460502086e-06,843.6912146
7.779090317159321e-06,843.9804834610001
7.974541953898263e-06,846.7090161110001
8.266787679755981e-06,832.4332592789999
8.466256599314447e-06,833.074508254
8.76922523687782e-06,834.059969617
8.982841442693447e-06,834.6988682460001
9.19682430365154e-06,836.104948343
9.411922808932181e-06,838.334527765
9.630013711451045e-06,841.8652975680002
9.845640997831416e-06,778.624629023
9.952376755588963e-06,780.820344015
1.0173212169441877e-05,782.105108995
1.0395201967041388e-05,782.5427829739999
1.062177585132193e-05,782.343382862
1.0730527281897019e-05,781.577925786
1.0837309615229483e-05,780.677282417
1.1069825047253566e-05,779.319381252
1.1190327338951736e-05,777.552393192
1.1436796492682686e-05,775.879467405
1.1550376814207801e-05,774.128364398
1.1661653860840442e-05,772.391684834
1.1903556239769315e-05,770.443143713
1.2015874615905054e-05,768.4511647019998
1.2122737459249776e-05,766.587653626
1.235932506116392e-05,764.8877421939999
1.2589719411359599e-05,759.223364337
1.2722279564939045e-05,757.5402170780002
1.2876015367746211e-05,755.387004973
1.3043623036585994e-05,753.015605068
1.3175742553863741e-05,750.7924721210001
1.3286867648482749e-05,748.715299989
1.3383673211625347e-05,746.58130333
1.3620577343664489e-05,744.655783925
1.3573656816449245e-05,742.60667395
1.3671246070084443e-05,740.615888804
1.3900314410605474e-05,738.393939753
1.3901825247131423e-05,736.134318838
1.4085683061665279e-05,733.994644937
1.4294812256835238e-05,731.67058506
1.453148522754373e-05,729.1821826380002
1.4800597544433946e-05,726.906413133
1.4900303662576582e-05,724.5492885210001
1.5191331539611053e-05,722.154856223
1.557601145516379e-05,719.895887082
1.576547920481339e-05,718.056069428
1.5945531370928186e-05,716.0194385010001
1.606595692080952e-05,714.383411497
1.6055018298487286e-05,712.878473294
1.6221892505858016e-05,710.734481387
1.6627084745823733e-05,708.52196461
1.6852188521103165e-05,706.3368760019998
1.6969050162341802e-05,704.4951800069998
1.6844423605095608e-05,702.5699214289999
1.7014850065169446e-05,700.616769754
1.7217935574974576e-05,698.820103649
1.718827979286956e-05,696.802799327
1.723575969669409e-05,695.05476693
1.7202879432972628e-05,693.2313157269998
1.737400594926116e-05,691.0781012010001
1.760786333260046e-05,689.073606262
1.7742601098975503e-05,686.910349485
1.7788934716471148e-05,684.820614527
1.81252510642969e-05,682.605450946
1.8427160165677347e-05,680.5296092780001
1.8533664366286872e-05,678.1656751869999
1.883823061657671e-05,675.962085955
1.8883045835002384e-05,673.7590664969999
1.9144880166205204e-05,671.419720611
1.9187188519456957e-05,669.2597607999999
1.9565665566551223e-05,667.1199571880001
1.9472644093062637e-05,665.0224355180001
1.941252303126002e-05,663.124074933
1.9215103682793408e-05,661.227067698
1.9257735762672744e-05,659.386050902
1.9143880331136204e-05,657.579235586
1.9253756792149635e-05,655.686977526
1.9189354868133436e-05,653.708562539
1.93176354932116e-05,651.970805535
1.9258444246727306e-05,650.2548234440001
1.940299978632206e-05,648.584105936
1.9369137293545372e-05,646.8189216630001
1.953712276143382e-05,645.022433801
1.952578439703831e-05,643.1517128959999
1.972357113728598e-05,641.241833969
1.9715149070482832e-05,639.45284845
1.992038785628704e-05,637.788398625
1.9932585192313052e-05,636.183628666
2.0139087649721812e-05,634.660609169
2.0151142756572914e-05,633.2775281959999
2.0162923249174324e-05,631.243338393
2.0370772596145937e-05,629.5192845930001
2.0383043974757003e-05,627.808088696
2.0593797649626868e-05,626.048780516
2.060488164911052e-05,624.149165799
2.061662346768785e-05,622.363048961
2.082775980509774e-05,620.551227405
2.083910414847585e-05,618.821529554
2.10519826286333e-05,617.180054746
2.1063325194281444e-05,615.423330513
2.1074815721505295e-05,613.702881969
2.1288243765637545e-05,611.900406534
2.12992419401536e-05,610.083156643
2.130879916818651e-05,608.141721694
2.152435358574323e-05,606.137944321
2.153488254821753e-05,604.0859231630001
2.154475908641919e-05,602.001264872
2.1761827579873605e-05,600.09575195
2.177308076199134e-05,598.371353815
2.178457357448701e-05,596.7279014569999
2.2004449469144607e-05,595.107153715
2.2017435951048792e-05,593.545995683
2.223883331252269e-05,592.058750562
2.2250881115619857e-05,590.626077757
2.2262695050232407e-05,589.285154014
2.226386067131292e-05,589.063832775
5.272348245353681e-06,800.281931621
3.874816869152565e-06,825.215071111
3.137203158811259e-06,813.462250376
2.743424365117621e-06,853.7645920489999
2.510862295175024e-06,831.762600583
2.3199948440465163e-06,844.833338359
2.164451979516322e-06,856.161758325
2.096803653298195e-06,849.9937025039999
2.136943317156102e-06,860.554327029
2.2033613305582985e-06,870.667650007
2.241721154422436e-06,876.9638446619998
2.369915152775526e-06,873.032744853
2.505684437025196e-06,861.430512733
2.615550823097604e-06,874.3492578060001
2.7995410957252713e-06,865.6043709730002
3.0725824161442414e-06,880.021290063
3.367214342153503e-06,875.630671771
4.586155391481962e-06,869.5270767630002
5.139817202230889e-06,878.553379484
5.684998370921417e-06,865.5328513119998
6.283383061905929e-06,868.878167407
6.851741119930032e-06,857.0813786210001
7.461246060127088e-06,857.585198559
8.025998782340467e-06,857.167246748
8.62970843322666e-06,845.589154686
9.165753083631162e-06,846.7929703760001
9.733133409454484e-06,845.10045066
1.0326402458334383e-05,842.77675671
1.083030421391365e-05,841.11457029
1.135168599625277e-05,840.297028691
1.1755035428538926e-05,841.81226222
1.1894269499612198e-05,846.400271474
1.1895817439595778e-05,802.4864464389999
1.1773257958105703e-05,803.239532917
1.1901168193354242e-05,802.428859631
1.2031262741760188e-05,800.67302823
1.243056905215197e-05,798.604914463
1.2847701558254401e-05,795.7981995010001
1.3258916841971766e-05,793.086610393
1.3532644073892549e-05,790.315780033
1.3962514291317965e-05,786.027288777
1.4410465447710872e-05,782.650563844
1.47134309661295e-05,779.3480646630002
1.5010139126732208e-05,776.011240825
1.5312055118283132e-05,772.525215972
1.5617119202622504e-05,769.209103078
1.5916524156599504e-05,765.926753772
1.6219102028807036e-05,762.5368949489999
1.652216269366639e-05,759.0620057589999
1.682139887910075e-05,755.821989909
1.6957840689067118e-05,752.372006437
1.7285029874097883e-05,748.9011166480002
1.7612168151091785e-05,745.390455044
1.77630007878535e-05,741.993626182
1.8081017217773995e-05,738.7312247760001
1.842028960821183e-05,735.20346867
1.8590663036325635e-05,731.6871340480002
1.8950069745968447e-05,728.2163513160001
1.9095378749521623e-05,724.842964756
1.943299411334378e-05,721.671484442
1.964782806161029e-05,718.0902837189999
1.9863972620209703e-05,714.572294307
2.0282220063757307e-05,710.871400852
2.0503672128721196e-05,707.331145905
2.0728038959816664e-05,703.9342297000002
2.1160731766448645e-05,700.5502224439999
2.1397134420845703e-05,697.204177281
2.1636951507074365e-05,693.564079888
2.207114915632485e-05,690.13191998
2.2303276541681027e-05,686.816386761
2.2548318624220346e-05,683.480388955
2.2781076208453784e-05,679.754275731
2.3021274951252587e-05,676.899042735
2.348718775555288e-05,673.7955758830001
2.374057750715059e-05,670.3400126390001
2.4001805655586677e-05,666.796149477
2.4231918819334665e-05,663.321149528
2.4481343282073203e-05,659.9953824959999
2.4733101700828137e-05,656.633611726
2.4985892077938838e-05,653.08460746
2.524487911992308e-05,649.118783079
2.5511560960882204e-05,644.901473866
2.5770163427926596e-05,640.88751479
2.627145565033005e-05,637.063498142
2.6536147942046903e-05,632.930458412
2.679237458926786e-05,628.98000182
2.705681816808994e-05,625.07875673
2.7324262167643993e-05,621.281514744
2.7611522577185725e-05,617.2881966790001
2.7634134683178537e-05,613.282355522
2.7912469613193533e-05,608.8747485069999
2.817250946360538e-05,604.681103262
2.8439454000144136e-05,600.731353291
2.8721308058246757e-05,596.4631893999998
2.899380207435942e-05,592.114221795
2.9273626821205085e-05,587.9274282490001
2.9554319434642503e-05,583.391212933
2.9846710538969755e-05,578.261283127
3.014054286767468e-05,572.683088168
3.0958540310682294e-05,561.7900308440001
3.124348352815661e-05,556.817084776
3.125769909125274e-05,551.9944834180001
3.154546441909211e-05,546.76145464
3.183555825018337e-05,540.939916983
3.212943767730419e-05,534.432823409
3.270396492998742e-05,528.259667402
3.2997797069004375e-05,519.563499827
3.3590694929699365e-05,507.114038133
5.822468528774689e-06,780.062949913
4.060728237146091e-06,805.645335005
3.2257978135171823e-06,832.506243413
2.7711545740866574e-06,868.801307603
2.4939660457542995e-06,836.5066864810001
2.3269780425289645e-06,850.3689670739999
2.10865612940673e-06,851.5247390569998
1.9588358978081405e-06,859.828724566
1.942283763516624e-06,860.814856075
2.0307618241128524e-06,838.7895362810001
2.148783946303616e-06,868.652220404
2.2125738306048645e-06,846.935591477
2.278423951976331e-06,864.823006511
2.37682766894407e-06,875.074834666
2.4150927878113087e-06,878.831202831
2.4859268924997443e-06,867.0574181530002
2.7320653455586195e-06,883.2975194239999
4.687884284924905e-06,867.769838161
5.129595071202936e-06,856.487862232
5.6115581363408464e-06,861.566235665
6.0575960981500945e-06,864.698157282
6.459258522916489e-06,849.9791175160001
6.966517809821622e-06,853.08488278
7.332086297183569e-06,852.254570735
7.805999274824527e-06,852.619976281
8.211192397259255e-06,836.883360637
8.629432493926033e-06,841.79427812
8.960355868118587e-06,841.615501968
9.404544274790271e-06,840.8442920010001
9.75301462701167e-06,839.7853012710001
1.0115613426135826e-05,838.895064299
1.0482631180140589e-05,838.968049599
1.0858733244359415e-05,840.549786755
1.1255045975688863e-05,844.136832824
1.1521304778976749e-05,792.14082929
1.1925062544799631e-05,796.13194331
1.2213379996341344e-05,797.2521513730002
1.2496869419912056e-05,797.1643344439999
1.2933856909842456e-05,797.324444825
1.3213461142376687e-05,797.5820112619998
1.3509982712300373e-05,787.084936515
1.3807459794837805e-05,787.149347635
1.4093959629520025e-05,785.3738909680002
1.4384913666826234e-05,783.1340372469998
1.4680742425101275e-05,780.8429594119998
1.4980136916514217e-05,778.379534782
1.5116708898270808e-05,775.935398537
1.5418632271229246e-05,773.47422874
1.571375010364928e-05,770.975609387
1.5997177722710544e-05,768.367105626
1.614239549730208e-05,765.3842005910001
1.6465155654787347e-05,762.338165968
1.6620335818696703e-05,759.46031305
1.6969819529358312e-05,756.3212281230002
1.7157531834425446e-05,752.9551073260001
1.7528973136607804e-05,749.495371576
1.7717471278956063e-05,746.271757257
1.7906101300723765e-05,742.661586552
1.8274663225760754e-05,739.191647525
1.848672669075443e-05,735.6260580000002
1.8682423999193413e-05,732.1905531389999
1.889327987308516e-05,728.722102738
1.9256031076463444e-05,725.5587827339999
1.9404597798535763e-05,722.4436081480002
1.9628180894776252e-05,719.17254988
1.986539586299723e-05,715.636691978
2.0185024948626987e-05,711.7071959
2.0427922046892874e-05,707.955351668
2.0782308827734377e-05,704.7882050430002
2.0976500574858203e-05,702.00281209
2.1211570725325443e-05,698.669169669
2.146783484087523e-05,695.177719432
2.1710673709755695e-05,691.667093889
2.193660862984352e-05,688.338640238
2.2173984110775166e-05,685.350418681
2.2426040502402154e-05,682.329300236
2.2669249447064817e-05,678.993302843
2.3162181196882666e-05,672.23673532
2.3412288644705463e-05,668.94310608
2.3742124072292483e-05,665.058858479
2.4173047340915578e-05,660.296947695
2.436968545693805e-05,656.77858777
2.4426506354465566e-05,654.703905362
2.4685418053295603e-05,652.263533188
2.4944480334738795e-05,649.1071986659999
2.4967028048060944e-05,645.460813443
2.5227718327231072e-05,642.56610123
2.548996484006567e-05,639.836847331
2.5754228780053256e-05,636.876077892
2.6020357055861042e-05,633.6536885959999
2.604405067062584e-05,629.987902998
2.631022305293048e-05,626.336150826
2.6616712090812427e-05,622.22538822
2.7071499581248917e-05,617.701707427
2.7057355755553687e-05,613.951595911
2.72352368820336e-05,611.234351686
2.743341017860919e-05,608.843287883
2.7728520092774785e-05,606.226571908
2.8005526031981273e-05,603.448975937
2.803782395578363e-05,600.720092796
2.829819529382946e-05,597.876310367
2.8584510459895154e-05,594.815882695
2.887119122181787e-05,591.940077082
2.9159316536866495e-05,589.0099316569999
2.9184309582795357e-05,585.843844919
2.9471562818296775e-05,582.861899907
2.975942181659735e-05,580.114581146
3.004890648214162e-05,577.482507389
3.0339813207810056e-05,574.866977841
3.0630903788966724e-05,572.174021046
3.0651451767982055e-05,568.978465069
3.094369729221109e-05,565.23647921
3.123541563571584e-05,561.8417040859999
3.1548203434990394e-05,555.98530444
3.184326092023061e-05,552.754814369
3.186189953185981e-05,549.5575882219999
3.21589449686084e-05,546.8169253369999
3.217757999223878e-05,544.286665891
3.247582126906786e-05,541.832016833
3.249357621324573e-05,539.266296958
3.2512879605771165e-05,536.6543185769999
3.281058151683622e-05,533.2821352880001
3.282847405045497e-05,530.0060175790001
3.3127986120254115e-05,526.900995677
3.3145340636170524e-05,523.713905642
3.3162269479776166e-05,521.442198351
3.317772316963662e-05,519.160674395
3.347803085336591e-05,516.785439838
3.3492238806973346e-05,514.489006438
3.379257008052302e-05,512.065693654
3.382493823502555e-05,508.762938402
3.3918537244273994e-05,505.243593434
3.3975153881746076e-05,501.720904707
3.423299692982612e-05,498.435858162
3.4678083631794526e-05,495.918458662
3.475144661872827e-05,493.05224086
3.517825437797497e-05,490.387820614
3.519698982288392e-05,490.104848343
5.666360864113954e-06,825.816068737
4.039258230482521e-06,798.268741285
3.2713440102111544e-06,830.9845231769998
2.789021929394499e-06,827.8946396810001
2.519092241677835e-06,837.600213834
2.3250507153607624e-06,848.639662748
2.1684460488858686e-06,859.2585312389999
2.127200911651121e-06,858.706609795
2.1400822046453496e-06,862.7547283289999
2.1782638985766843e-06,870.815870597
2.245336658444523e-06,879.586947875
2.315081725294301e-06,867.5632332739999
2.4169149950821177e-06,878.120628793
2.5881827357752043e-06,874.227710443
2.7360405836969625e-06,882.190245901
2.9661492590400337e-06,877.26765475
3.255474270262301e-06,872.2753962219998
3.5661414827267983e-06,881.519962267
3.954987995578898e-06,873.935210217
4.383354890401945e-06,866.660330654
4.916189004621793e-06,872.703205272
5.443338972418702e-06,864.167236855
6.019083435595648e-06,866.809265182
6.5735704898574515e-06,851.7681820739999
7.17046395086424e-06,858.1029701560001
7.628300499644095e-06,857.385924245
8.205409796779767e-06,858.323769784
8.615918869122012e-06,845.125114672
9.048640439051666e-06,846.230875447
9.169261910202305e-06,844.376481068
9.181242838472024e-06,842.3964936819998
9.088995907701496e-06,840.341759926
9.097930491213727e-06,838.819956648
9.102438353405771e-06,837.939723078
9.438630251033191e-06,839.067210564
9.775558736811572e-06,841.996895037
1.023849456115458e-05,847.02523898
1.0595660867252835e-05,797.598473433
1.0959139055024443e-05,798.7920608860001
1.1334373498310598e-05,798.5372646430002
1.1716286390264857e-05,797.390839915
1.196740050932506e-05,795.810933575
1.2359451642580709e-05,793.7199162869998
1.26266361698198e-05,791.448001142
1.2897627252832254e-05,789.060625655
1.3159662457627434e-05,786.70749767
1.3428052605368789e-05,785.2136200739999
1.3705440128244177e-05,780.5758287580002
1.3980203302463003e-05,778.3686216469998
1.4253238364053722e-05,775.912475495
1.438432004318787e-05,773.26125543
1.4690111955552703e-05,770.376851229
1.4984474277799757e-05,767.7377473639999
1.5112200877358845e-05,765.118544608
1.5407559590312134e-05,762.298530011
1.554711588692983e-05,759.590687977
1.5846596878769358e-05,756.563545745
1.614183076528294e-05,753.698743085
1.6263307171816903e-05,751.0979334460001
1.638000332167699e-05,748.6242409710001
1.6677795884606564e-05,745.7932205430002
1.6811909699948395e-05,742.9756031869998
1.7130923242833336e-05,740.072808341
1.7269928112389643e-05,737.639529938
1.7407336760659206e-05,735.3052069080002
1.7750019909904354e-05,732.983352397
1.794980593372181e-05,730.612112633
1.8151832165533835e-05,728.091581078
1.8541232072532606e-05,725.571014355
1.8747874772819637e-05,723.054558701
1.8965119591422186e-05,720.55846511
1.918415141187992e-05,717.974450325
1.9407709840431872e-05,715.229515123
1.9610056720227646e-05,712.5292616360001
1.9829546168592475e-05,709.662969009
