time,x [Mshock**0.5 * Rshock**-1.5 * p *rho**-2.5]
0.401,4.114381139250756e-06
0.402,4.118568445819263e-06
0.403,3.977180765596696e-06
0.404,4.123598612346123e-06
0.405,4.125344291337328e-06
0.406,3.986246573851166e-06
0.407,4.131898558904506e-06
0.408,4.133737362082673e-06
0.409,3.992639048516855e-06
0.41,4.1368641248292275e-06
0.411,4.139263886213729e-06
0.412,4.293055611777725e-06
0.413,4.144975514613693e-06
0.414,4.148341558547535e-06
0.415,4.005347886496408e-06
0.416,4.0058375367120265e-06
0.417,4.005871540727405e-06
0.418,4.008797592896906e-06
0.419,4.010172174185339e-06
0.42,4.155791442165638e-06
0.421,4.157703008824006e-06
0.422,4.158680994296716e-06
0.423,4.160484626834918e-06
0.424,4.467838461853356e-06
0.425,4.46853205495721e-06
0.426,4.4703450152781806e-06
0.427,4.4696939662777735e-06
0.428,4.313099002793109e-06
0.429,4.316007859099929e-06
0.43,4.3168393885237265e-06
0.431,4.316677389007994e-06
0.432,4.317527030146333e-06
0.433,4.166329868028381e-06
0.434,4.31886856954928e-06
0.435,4.319415996348738e-06
0.436,4.3183470661474575e-06
0.437,4.474627103787499e-06
0.438,4.472605157811788e-06
0.439,4.635704850687413e-06
0.44,4.6361304479592e-06
0.441,4.4742652214604205e-06
0.442,4.474255537588276e-06
0.443,4.473731300367487e-06
0.444,4.472896026856755e-06
0.445,4.635218723896907e-06
0.446,4.472755463679583e-06
0.447,4.634912857179289e-06
0.448,4.802759015319127e-06
0.449,4.802658080170213e-06
0.45,4.97706145834782e-06
0.451,5.1573851588258805e-06
0.452,4.977639695132799e-06
0.453,4.803370847215077e-06
0.454,4.636065652937928e-06
0.455,4.635832082174876e-06
0.456,4.805922145600575e-06
0.457,4.979936092104723e-06
0.458,5.1607173282046895e-06
0.459,5.162371554809975e-06
0.46,4.978819443043951e-06
0.461,4.806061471387804e-06
0.462,4.806351751754658e-06
0.463,4.9818145891763164e-06
0.464,5.162146817178393e-06
0.465,5.163309320144057e-06
0.466,5.163413077071101e-06
0.467,5.1631141179357936e-06
0.468,4.9824890015469744e-06
0.469,4.982681178602435e-06
0.47,4.984172597684774e-06
0.471,5.1633875624050215e-06
0.472,5.164341106540676e-06
0.473,5.164235029795818e-06
0.474,5.3524507088851125e-06
0.475,5.349381503021266e-06
0.476,5.350553010335311e-06
0.477,5.544103798739472e-06
0.478,5.744727850054887e-06
0.479,5.544164506965532e-06
0.48,5.542089494562054e-06
0.481,5.3492921533590755e-06
0.482,5.542533390392211e-06
0.483,5.743996194901915e-06
0.484,5.7421805671958935e-06
0.485,5.744183164646792e-06
0.486,5.744638111530067e-06
0.487,5.74499384909628e-06
0.488,5.745859772131284e-06
0.489,5.7451240708574325e-06
0.49,5.746607244140266e-06
0.491,5.953348829104492e-06
0.492,5.953666265993553e-06
0.493,5.953593312956697e-06
0.494,5.953481076977506e-06
0.495,5.952954862851753e-06
0.496,6.169989043264273e-06
0.497,6.171726100820758e-06
0.498,6.17313118206023e-06
0.499,5.9571438229756295e-06
0.5,5.748070257202717e-06
0.501,5.954463869269423e-06
0.502,5.953582858637945e-06
0.503,6.1679402266007715e-06
0.504,5.74261728251486e-06
0.505,5.740262425728162e-06
0.506,5.73757066422769e-06
0.507,5.734700872238146e-06
0.508,5.731529464470691e-06
0.509,5.9368849632447185e-06
0.51,5.525687178946604e-06
0.511,5.523226044428153e-06
0.512,5.518981769392312e-06
0.513,5.325078631445388e-06
0.514,5.322305900369648e-06
0.515,5.712552273313877e-06
0.516,5.709880817002011e-06
0.517,5.508220499510595e-06
0.518,5.505995523282626e-06
0.519,5.503642821451312e-06
0.52,5.309052369312691e-06
0.521,5.4993302170277e-06
0.522,5.497654642265728e-06
0.523,5.693781088714135e-06
0.524,5.493323463691526e-06
0.525,5.49125956695493e-06
0.526,5.2965321076811175e-06
0.527,5.295739104841374e-06
0.528,5.10857141096791e-06
0.529,4.928767032035588e-06
0.53,5.104934971286971e-06
0.531,5.103841257440997e-06
0.532,5.102858897073081e-06
0.533,5.101316060168093e-06
0.534,4.921095314660137e-06
0.535,4.920290640057081e-06
0.536,5.282396179622034e-06
0.537,5.094594243026325e-06
0.538,5.094193002604218e-06
0.539,5.279278085605181e-06
0.54,5.092502030765377e-06
0.541,5.093200270582468e-06
0.542,5.0916240657265985e-06
0.543,4.911726489311115e-06
0.544,4.912170495102448e-06
0.545,4.912961828714854e-06
0.546,4.911505983186147e-06
0.547,4.909515221952146e-06
0.548,4.907671121410454e-06
0.549,4.905414448844806e-06
0.55,4.905609191604213e-06
0.551,4.906747388794369e-06
0.552,5.083672197436952e-06
0.553,5.08402451976104e-06
0.554,5.086070154048248e-06
0.555,4.905614008291499e-06
0.556,4.903080419692971e-06
0.557,4.903534764380573e-06
0.558,5.081429735363434e-06
0.559,4.904760709889802e-06
0.56,4.735130178983651e-06
0.561,4.569158774880046e-06
0.562,4.7354518255890215e-06
0.563,4.7362235557319115e-06
0.564,4.9076924972706285e-06
0.565,4.73734900935624e-06
0.566,4.909399062250158e-06
0.567,4.910650292246222e-06
0.568,4.911647082627942e-06
0.569,4.913252773048665e-06
0.57,4.913526324033748e-06
0.571,5.0929801907343874e-06
0.572,5.094660532461189e-06
0.573,5.0965877849621415e-06
0.574,5.098628590231625e-06
0.575,5.285178700260548e-06
0.576,5.28778729965555e-06
0.577,5.4816921267501095e-06
0.578,5.483501911981567e-06
0.579,5.486007170362145e-06
0.58,5.687391754475234e-06
0.581,5.489766794589367e-06
0.582,5.492035916876313e-06
0.583,5.4944611684057544e-06
0.584,5.496506649790404e-06
0.585,5.4983293691469565e-06
0.586,5.499397417826681e-06
0.587,5.701283616476448e-06
