"a0" "a1" "a2" "a3" "b1" "rnew[1]" "rnew[2]" "rnew[3]" "rnew[4]" "rnew[5]" "rnew[6]" "rnew[7]" "rnew[8]" "rnew[9]" "rnew[10]"
0.00158421846958026 2.99279431543671e-06 1.98079535911025e-09 4.28300531077074e-13 5.63697285235055e-11 7.82519176753112e-05 0.000173848439238064 0.00018833517060136 0.000532794960682354 0.000995500050657972 0.00153297152282894 0.00147805761540736 0.00239561283087124 0.00318568460011909 0.00427604596920737
0.00157954485761454 2.97590688912658e-06 1.96785041115445e-09 4.14095161164501e-13 5.62379313428434e-11 2.87431650033086e-05 -7.45743409775217e-05 0.000562003754932916 0.000480968232129135 0.000720036862171058 0.0015432638852989 0.00196280979802647 0.00213134987842788 0.00274604276095657 0.00360809028864724
0.00158172810922871 2.97759566246572e-06 1.96074391355314e-09 4.01388823146915e-13 5.82428007442432e-11 0.00016632478968709 6.88851668845736e-05 0.000337444571832889 0.000557597223689784 0.00081877947151229 0.00145857596630258 0.00125497190979212 0.00252963699017409 0.00274658515183162 0.00402290259258053
0.00157755689864958 2.98538739297626e-06 1.96334412047549e-09 3.97137565505632e-13 5.80853881748802e-11 0.000159062044038799 0.000156286427469488 0.000169286492288453 0.000408602242958225 0.000855466460404718 0.00103977503172055 0.00140587101511564 0.00269425355469431 0.00297468615186303 0.00410680411624546
0.00158338750118997 2.99528271343105e-06 1.97404527084731e-09 3.96364197632128e-13 5.70205397828333e-11 0.000198218462274166 2.7401607415899e-05 0.00061173284180035 0.000605020910910521 0.0011569048312059 0.00119185946199698 0.00151059035777281 0.00200187142668638 0.00302390303533336 0.00445437216362785
0.00157833609908905 2.99464046060127e-06 1.976117762555e-09 4.01490241133418e-13 5.59460455356942e-11 0.000112090821092956 0.000482527835260208 0.000505219950294519 0.000335499928903654 0.000464031798150778 0.00135769739468944 0.00165564571740932 0.00234215497237795 0.00317308353012478 0.0042841859646103
0.00158213441128991 3.00389149463931e-06 1.97574463158164e-09 3.98418151819175e-13 5.70717379340229e-11 0.000198188036485707 0.000400282106191507 0.000378669420935555 0.000166234593771842 0.000741011678140812 0.00145499620653009 0.0015720039012265 0.0021902715015571 0.00320813482148172 0.00361797828085479
0.00158229436525814 2.99903566252108e-06 1.9710659983036e-09 4.07461083773016e-13 5.6189039525926e-11 0.000132972529627978 0.000195620530853485 0.000370387878603837 0.000265962702699851 0.00108580038134439 0.000904255473679104 0.00191865306064722 0.00226876331304958 0.00269489361519928 0.00341940727657764
0.00157069590832761 2.98293524446908e-06 1.97760627510709e-09 4.00795548105711e-13 5.67431193507993e-11 0.000212519289766677 0.000121691944922582 0.000303249825455313 0.000441517843367239 0.000934619950096375 0.000944120460885039 0.00157085738768015 0.00215147567227119 0.00355623896533559 0.00374658117584012
0.00158414936670272 3.00942895923731e-06 1.98684211055946e-09 4.03988728159552e-13 5.60739451210761e-11 0.000204358412868009 0.000106716522818453 0.000279364512919379 0.000446496368877752 0.000734106174606866 0.00121417281445793 0.00140954410913174 0.0023137408090417 0.00325714859385808 0.00448878926950348
